passID,timestamp,stationRef,vehicleRef,charge,tagAbbr,originStatus,stationOperator
WSI3219904,1-1-2019 01:33,KO01,ED51EWW52190,2.8,KO,home,KO
HOM4753925,10-1-2019 15:28,KO01,ED51EWW52190,2.8,KO,home,KO
CNX5887717,22-2-2019 08:35,KO01,ED51EWW52190,2.8,KO,home,KO
CZD4516317,24-3-2019 07:07,KO01,ED51EWW52190,2.8,KO,home,KO
AJA1395980,21-4-2019 12:00,KO01,ED51EWW52190,2.8,KO,home,KO
DDO1087287,22-4-2019 20:04,KO01,ED51EWW52190,2.8,KO,home,KO
BDR8679036,8-5-2019 15:31,KO01,ED51EWW52190,1.5,KO,home,KO
MPG8976468,28-7-2019 13:50,KO01,ED51EWW52190,2.8,KO,home,KO
BAG2369851,8-8-2019 13:03,KO01,ED51EWW52190,2.8,KO,home,KO
ARP0345042,16-8-2019 02:05,KO01,ED51EWW52190,2.8,KO,home,KO
BNW6478945,27-8-2019 09:32,KO01,ED51EWW52190,2.8,KO,home,KO
DXE7396255,7-9-2019 00:59,KO01,ED51EWW52190,2.8,KO,home,KO
VBK6433117,2-10-2019 08:08,KO01,ED51EWW52190,2.8,KO,home,KO
CRV8288755,23-11-2019 02:51,KO01,ED51EWW52190,2.8,KO,home,KO
OCY7191269,7-12-2019 09:38,KO01,ED51EWW52190,2.8,KO,home,KO
CSZ4999788,25-1-2020 13:21,KO01,ED51EWW52190,2.8,KO,home,KO
ZBE0564065,4-2-2020 19:16,KO01,ED51EWW52190,2.8,KO,home,KO
GQT1973678,8-3-2020 11:25,KO01,ED51EWW52190,2.8,KO,home,KO
KZZ9839330,15-3-2020 07:21,KO01,ED51EWW52190,2.8,KO,home,KO
CHO0835399,28-3-2020 09:40,KO01,ED51EWW52190,2.8,KO,home,KO
OGA4011862,13-4-2020 00:21,KO01,ED51EWW52190,2.8,KO,home,KO
QSP2264716,13-4-2020 04:00,KO01,ED51EWW52190,2.8,KO,home,KO
SRW4856333,14-4-2020 12:56,KO01,ED51EWW52190,2.8,KO,home,KO
LXF6544796,23-5-2020 16:36,KO01,ED51EWW52190,2.8,KO,home,KO
VRM2406834,30-5-2020 12:54,KO01,ED51EWW52190,2.8,KO,home,KO
