StationID,StationOperator,RequestTimestamp,PeriodFrom,PeriodTo,NumberOfPasses,PassIndex,PassID,PassTimeStamp,VehicleID,TagProvider,PassType,PassCharge
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,1,"NHG9881437","Mon Oct 21 2019 06:37:00 GMT+0300 (Eastern European Summer Time)","AT19HLV57173","OO","away",2.8
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,2,"FUA3352344","Sat Feb 22 2020 21:27:00 GMT+0200 (Eastern European Standard Time)","AT19HLV57173","OO","away",2.8
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,3,"MUW6915982","Tue Apr 09 2019 10:02:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,4,"GSA1588361","Sun Apr 28 2019 05:56:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,5,"DFS2663299","Mon May 06 2019 22:14:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,6,"DJO4516456","Tue Jun 11 2019 06:23:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,7,"NXT7211343","Sat Jun 29 2019 21:21:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,8,"QVL2711178","Mon Jul 29 2019 03:07:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,9,"BFA8790276","Mon Jul 29 2019 12:50:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
"AO01","AO","Sat Jan 29 2022 21:16:33 GMT+0200 (Eastern European Standard Time)","Thu Apr 04 2019 00:00:00 GMT+0300","Sat Apr 04 2020 00:00:00 GMT+0300",693,10,"ZOO3056381","Sun Aug 18 2019 04:54:00 GMT+0300 (Eastern European Summer Time)","DP11ENT03275","AO","home",3.1
