op1_ID,op2_ID,RequestTimestamp,PeriodFrom,PeriodTo,NumberOfPasses,PassIndex,PassID,stationID,TimeStamp,vehicleID,Charge
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,1,"XNN3133547","EM54HQI58682","Tue May 19 2020 17:59:00 GMT+0300 (Eastern European Summer Time)","EM54HQI58682",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,2,"BXB7075193","QR03XCJ37459","Thu Aug 06 2020 23:00:00 GMT+0300 (Eastern European Summer Time)","QR03XCJ37459",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,3,"MKT3579238","QR03XCJ37459","Sun Mar 21 2021 18:04:00 GMT+0200 (Eastern European Standard Time)","QR03XCJ37459",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,4,"NNN0453368","WG11QVY31890","Sat Aug 22 2020 20:34:00 GMT+0300 (Eastern European Summer Time)","WG11QVY31890",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,5,"NIJ9345084","AT19HLV57173","Wed Jul 15 2020 06:31:00 GMT+0300 (Eastern European Summer Time)","AT19HLV57173",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,6,"FNH5068614","QR03XCJ37459","Mon Apr 20 2020 06:27:00 GMT+0300 (Eastern European Summer Time)","QR03XCJ37459",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,7,"ODK4002852","QR03XCJ37459","Sat Dec 12 2020 19:45:00 GMT+0200 (Eastern European Standard Time)","QR03XCJ37459",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,8,"PEY9974498","JF94VYA88954","Mon Apr 20 2020 09:30:00 GMT+0300 (Eastern European Summer Time)","JF94VYA88954",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,9,"NOP1994988","EE22TMX10817","Wed Feb 10 2021 02:33:00 GMT+0200 (Eastern European Standard Time)","EE22TMX10817",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,10,"CNY6860034","XV40HUQ04740","Fri Jun 05 2020 08:35:00 GMT+0300 (Eastern European Summer Time)","XV40HUQ04740",2.8
"AO","OO","Sat Jan 29 2022 21:17:10 GMT+0200 (Eastern European Standard Time)","Sat Apr 04 2020 00:00:00 GMT+0300","Sun Apr 04 2021 00:00:00 GMT+0300",558,11,"MOI2595884","EM54HQI58682","Sat Jun 20 2020 22:54:00 GMT+0300 (Eastern European Summer Time)","EM54HQI58682",2.8
